==== Start of Transcript: Personal Brand Coaching Week 6 ====

Coaching Week 6 - Brand Focus Group

[00:00:02] Sue Bryce | Start your dancing. I do my dancing before.
[00:45:28] Sue Bryce | the right questions, that's positioning yourself, and it's also educating the people feeling in the out that you know

[00:45:28] Sue Bryce | the answer to all those incredible questions, but they're going, ouch, ouch. Oh, I don't do that. Oh, yeah. I do that. Oh, no.

[00:45:44] Sue Bryce | I don't do that. Oh, I do that. Oh, I'm never doing that. And that's how you can get all of that information from people. So if I could solve This is your homework.

[00:45:55] Sue Bryce | If I could solve one big problem in

[00:45:55] Sue Bryce | your business right now, what would it be? And if I could solve one big problem with you selling,

[00:46:10] Sue Bryce | right now, what would that be? And if you and

[00:46:12] Sue Bryce | if I could solve one big problem for your marketing right now, what's your big problem with marketing?

[00:46:26] Sue Bryce | And if I could solve one big problem for you personally in your personal life right now, what would it be? Cause those four problems need to be solved, and those four problems are what is stopping you from getting to the next step. But all you have to do is identify what the problem is in each one of those. And if the problem you identify cannot be fixed by you, you cannot see the solution, and that means you're stuck, and that's not true.

[00:47:00] Sue Bryce | So if in that moment, you cannot solve the problem, or you cannot see a way to solve the

[00:47:04] Sue Bryce | problem, you're lying in that area, and it's either about your business overall, you're selling, your marketing, or something you're going through personally. So as soon as you can identify what it is that I could solve on a one on one session with me, what would that be, and tell me the problem, because once you know the problem, you're not problem focused anymore, your solution focused. And as soon as you know the solution to those 4 things, you are running at what you want. Right? Who's excited about a focus group?

[00:47:46] Sue Bryce | Ask me questions.

[00:47:49] Chatroom Host | I have a little testimonial for you.

[00:47:51] Sue Bryce | Oh, I love testimonial.

[00:47:53] Chatroom Host | And it's actually mine. 2 years ago, you asked me what do I want, and I had no idea. So I made the list of what I don't want. And then once I had that, I asked all of my loved ones what they thought my superpower was, and I watched to see which resonated with me. I did journals after journals after journals constantly looking back on the moments or what I was doing and the moments that lit me up the most And before you know it, I realized what it is that I wanted and also what my superpower was.

[00:48:25] Chatroom Host | Once the you create that that win, that group, that focus group at that point, then you know what you bring to the table. And you also know what you've also got.

[00:48:33] Sue Bryce | Get this superpower quickly or on their own, because you do it so effort that effortlessly that

[00:48:40] Sue Bryce | you don't realize it's a superpower. I always say to people, this is so crazy. It doesn't

[00:48:41] Sue Bryce | matter how stuck you feel It's right in front of you. It's right

[00:48:52] Sue Bryce | in front of you. You're not even saying it. Because when I unfold people in real time,

[00:49:04] Sue Bryce | I make something so obvious that they've just said that they go and I know you didn't see it. And I'm like, how did you not see

[00:49:09] Sue Bryce | that?

[00:49:18] Sue Bryce | Came out of your mouth. It's literally your aura.

[00:49:19] Sue Bryce | So because I'm a finely tuned bullshit detector, and I

[00:49:31] Sue Bryce | I read authenticity and truth. I'm blown away that people can't tell the truth of what they want. It's not that you don't know. That you can't say that you're worthless or, or you can't say I want that for myself. And I was like, No.

[00:49:58] Sue Bryce | A long time ago, I was like, I want that up there for myself, and if I can walk the steps to get there, I will be worthy of that path. If I can walk the steps to get there, I am worthy of this path. So I don't need to be worthy to walk the path. I need to know that every step I took, I took it knowing I was worthy to become what I want to be. I did what I said I was gonna do, finally.

[00:50:35] Sue Bryce | And I started to show up for myself every day, And I started to say, I am worthy of creating the life that I want for myself, and and it stops becoming about comparison, and it truly becomes about this belief that I'm not afraid to say this is what I want next. I'm just not afraid. So, check for any questions, but we just had a great chat before everyone walked in about chat EBT, and I want to show you some things on chat that are just intriguing, sometimes they're funny, sometimes they're mind blowing. So, one of the things that I did in my chat was I opened chair activity, and I wrote this. Can you create a survey for my personal brand

[00:51:39] Sue Bryce | workshop students from me personally, surprise? What I want to know about

[00:51:39] Sue Bryce | you and your business? And then I wrote, 25 questions, just questions of what I want to know. I didn't give multi choice. I did not give, like, different ways of answering the survey, and it instantly curated a perfect survey around every single one of those questions. So so easy to create a survey just by doing that, and then adjusting it and making it yours.

[00:52:15] Sue Bryce | And then, of course, you're going to take the survey and create the survey for your clients. So that was one way that I created a survey that worked really, really well, and it added to really cool things, and it gave me, like, multi choice, and it gave me some really good places for feedback. Excuse me, with the runny nose. Alright. Now I did something really different.

[00:52:41] Sue Bryce | Have you ever done a prediction on chat GBT? Okay. So it's really funny. This is all just for your own personal fun. Now every time I write a workshop, I write it out before I put it into slides I transfer all the content into chat.

[00:52:57] Sue Bryce | So chat has 65,000 words of mine, and I've been doing that over the last 6 months. So it's getting better and better at speaking in my voice, and I asked it to speak in my voice. So somebody told me to do this the other day. So I put all four workshops into chat, so it knows my content, and it's starting to speak with my words, my voice. And this is what I wrote of all the content from personal brand, content curator, self value, and speak workshop, which subject will be a hit workshop.

[00:53:34] Sue Bryce | Right. It's what I was which subject would be a hit book, and how can I build my empire around this content? Please give me a prediction. To determine what subject from your workshop's personal brand content curator, self other and speak, could be a hit as a workshop, and which might be a hit as a book. Let's break it down based on your current ethos audience demand and the trends and personal branding, entrepreneurship, and speaking, speak workshop is a hit workshop.

[00:54:07] Sue Bryce | The speak workshop has the strongest potential to become a highly sought after in demand event. Here's why, and it gave me basically written me a full description of my workshop, why it stands out above all my content. And then it said it identified in my content that mirror mirror is a concept developed by me and that that would be the basis of a, best selling book. And it it's gives you a prediction. It gives you scriptions.

[00:54:42] Sue Bryce | It gives you forecasts about the future. It's mind blowing. Okay. So that's what I wrote first. And, then I did another one with this morning, so it gave me a big printout about my hip book.

[00:54:56] Sue Bryce | About my workshop, about all this cool stuff I can build, create products I can create around it. Okay. This time, I did the survey. Alright. Now okay.

[00:55:09] Sue Bryce | With all the information, Joe told me this this morning, this will blow your mind. With all the information

[00:55:19] Sue Bryce | you have about me and based on what you can find

[00:55:19] Sue Bryce | online about me, surprise. What is your prediction for my future career? Oh my gosh. I just got like this 4 page printout. And listen to this.

[00:55:34] Sue Bryce | It's so funny, but it's also awesome because it like, even if you look at it, purely as a creative writing exercise. Listen to some of the language in here that I could use. And number 1, expansion of your empire as a thought leader, you are already a highly successful entrepreneur, educator, and speaker the next phase of your career will solidify you as one of the most influential thought leaders in personal branding creative entrepreneurship and empowerment. Given your deep understanding of self worth, alignment, transformation, your message will resonate on a global scale beyond just your current audience and of photographers and creatives. Like, the the stuff that it's saying, and there's, like, five pages, and it just keeps going on.

[00:56:18] Sue Bryce | It's like, this is a multi channel, multi channel content. It expansion predictions for my development, original book. I've got growth and empowered community and legacy, legacy as a coach, my prediction for, it just keeps going and it's like, my prediction for your career in the next 5 years. And because I put so much of my content in there, so start uploading your content so it can really get to know you and get to know your voice because This is a tool that we've been using for a long time. You know, we've been using, AI for a long time.

[00:56:57] Sue Bryce | When you go to any business in the last 20 years and you're on a chatbot, that's AI, and AI can be used in your business in a million different ways, but just that prediction really blew my mind. And as I was going through it, it was saying things and giving me, you're gonna love it's ideas for products, right? Because knowing for well, I already know what products I wanna create. It was like, you could create an international online workshop. You could create an accreditation program, you got, and it gave me all that.

[00:57:30] Sue Bryce | And I was like, yeah, yeah, I got all that, but it's like, how cool is that, and that absolutely blew my mind? Okay. So go chat. So, yeah, get your predictions. Oh, my questions my questions that I wanted to know,

[00:57:46] Sue Bryce | my questions would be relevant to the clarity that I need, so they won't be relevant to you.

[00:57:46] Sue Bryce | But if I could ask you a question about your business that would be, like, relevant. These are the questions that I would want to know. What's your 3 by 3? Cause I'd want you to write that out, and I'd want to know it are you a personal brand or a company brand? Do you feel clarity, connection, and value presenting your brand?

[00:58:17] Sue Bryce | What path brought you to creating this brand? Did the $1,000,000 dream change your path? I am most interested, and

[00:58:23] Sue Bryce | if anybody got anything out of

[00:58:23] Sue Bryce | that, that changed my life. And I guess some people will be like, meh, whatever, you get a 1,000,000 fake $1,000,000 check and you imagine what you're going to do with it, but when you imagine what you're going to do with it and it's different to what you're doing, that's a game changer. And I really want to know how people went with that, so that's where I'm most interested in. Do you offer a, a physical product, a digital product, a physical service, or a digital service, and we're interested in what you actually sell, what product service brings you the most income? Are you currently at 5, 6, 7, or 8 figures in your brand?

[00:59:09] Sue Bryce | What's different or unique about you? How do you position yourself in your field or industry? Are you in love with your products? Have you mastered pricing? What money level are you at?

[00:59:23] Sue Bryce | Have you found marketing clarity? Have you found your voice? What is your next business goal? What is your next personal goal? Where do you get stuck?

[00:59:36] Sue Bryce | How do you self sabotage yourself? What is the one thing you would like to overcome? How much of your body image are you projecting into your brand? Are you holding yourself back because of how you look? What is the best system you've created for your business

[00:59:53] Sue Bryce | so far? What is the most needed new system for your business right now? Why do you feel

[00:59:53] Sue Bryce | when do you feel the most amount of authenticity doing what you do. Do you feel like you're in alignment with this brand? Do you feel like you're on the right path? And does this feel good to you? That's what I want to know.

[01:00:17] Sue Bryce | As a coach, that's what I want to know. I need to know if your emotional physical connection to this brand and businesses in alignment And until it's in alignment with what you really want and that path, that next step that you're taking, that's all I'm doing is trying to get that clarity in there so that we can move the needle from that point on. Who in this room would do a focus group if they were invited to 1, where you all get to do it? No, Sam?

[01:00:49] Sue Bryce | Only because I'm still starting out. So I would love to be a part of making for some money, but I

[01:00:51] Sue Bryce | would have Yeah. Because really until you're ready to be in a brand, and we just did that without a mic. So Sam actually said she's developing her new brand, so she's not there yet that she would feel ready enough to do a focus group around that brand. Although if you felt like you could bring enough to the table as a contributor to other people, maybe what yours could be would be the vision for your brand because until you've created the brand, you're in the vision stage, and you're not creating the identity yet, but you're also taking steps towards the making of that vision, choosing a name, choosing colors, choosing a website, and you'll be quite amazed at the connection in there to those very early steps And just because you haven't created the brand, the product, or the income yet, does not mean that it's fully formed in your head as a vision and that it could come out as if this is my business plan, You know, one of the things about growing anything is the first stage that I got to was when you tell people your next step and they poo poo it.

[01:02:01] Sue Bryce | And when you're new and you wanna do something that feels really big in our side of you and somebody poo poo's that next step, it's soul crushing. But what you got was their limits, and I would like to go into a network where there are no limits. Where there's no limits to what they could tell me about what I could do for my next step. And I don't think of anything better than that than creating these hot seats. So like, I am so excited to see what you all do with that.

[01:02:35] Sue Bryce | Are there any questions?

[01:02:37] Chatroom Host | Just where do they get all of those questions that you just beautifully riddled off?

[01:02:41] Sue Bryce | Well, when you download the homework, but Jen's not Jen is, sick this week. She's out. So what I'm gonna do is I'll get you this keynote, and it's in the keynote. I'll get you the ugly keynote, and I will replace it. I'm sorry for the ugly keynote, but I can't design keynotes like Jen can.

[01:02:59] Sue Bryce | And, yeah, all those questions are there, but also it's really important that you

[01:03:03] Sue Bryce | write your own. I will also give you the chat questions that I put in,

[01:03:03] Sue Bryce | and then the questions chat generated for the survey because they look extraordinarily different. One is a list of questions. The other one is a whole bullet point, moldy choice, giving me options. And I was like, you know, you can get so much help with marketing copy, with chat, with feedback, this way that's not chat writing things for you, but really just organizing content for you. Everything that you can possibly give chat, feed it in.

[01:03:37] Sue Bryce | This is a whole spiel about me. If you wanna know how to get a spiel, get your phone, or your iPad, and do a voice memo, no, don't do a voice memo. Go to text, text yourself. Right? Write a text to yourself, hit the microphone, and then just sit there going, my name is Sue Bryce, I am a photographer, I am an educator, and I am a speaker, and speak it all out so the words are all just getting typed out, and then copy and paste and just go and put it into chat.

[01:04:10] Sue Bryce | And chat's like, whoop? And my website is. My name is. I've been doing this for this years. I was most challenged by my superpower is.

[01:04:19] Sue Bryce | My businesses. My focus is. This is how much money I make. Give it to chat, and then it will generate, you know, it just instantly generates text about you, and then you can go back anytime and say, with what you know about me, could you please help me but the more information you give it, like, these are the questions I would ask in a survey. Could you please help me write the survey to and also, when it wrote the survey, this is what it did, and of course I can change anything.

[01:04:51] Sue Bryce | But this blew me away, because when I said Can you create a survey for my personal brand workshop students from me personally, Subrise? What I want to know about you and your business? Then I put in the questions. Then it said, here's a personalized survey for your personal brand workshop students designed to gather deep insights into your business and help them reflect on their own brand clarity. So it identified that in me giving you all these questions, It's gonna help you reflect.

[01:05:22] Sue Bryce | So while you're doing my survey, you're getting what? Confirmation that I know shit. Confirmation. She knows what I need. Oh my gosh.

[01:05:30] Sue Bryce | She's talking to me. That's exactly what I want. That's exactly what I need. And and they're getting that confirmation just in my survey. So thank you for participating in my personal brand workshop.

[01:05:41] Sue Bryce | I'm excited to learn more about you and your business. The survey is designed to help me understand where you are at in your journey. The unique qualities of your brand and how I can best support you, take your time answering these questions. I want to get to know the real you and your brand. That was the intro that chat wrote.

[01:06:01] Sue Bryce | And that better than an intro I could have written. So I was like, nice. Straight away. What is your 3 by 3? Who are you?

[01:06:10] Sue Bryce | What are you doing? Who do you do it for? It was the first one, 2, 3. I never wrote that. So the fact that it's giving me all of this content that I can help, maybe you put it into chat and say, I want feedback around my marketing or my social media.

[01:06:24] Sue Bryce | So you make it about social media content, then you send it out. Maybe it's about my experience. What is the subrace experience? I won't know what the subrace experience is until you tell me what it's like having the experience. I can create the experience.

[01:06:40] Sue Bryce | I can tell you what the experience is, but you are the only one that can tell me how the experience feels, and you're the only one that can say this is what I experienced. And that is the truth. If I take whatever words in that moment that you give me and I create marketing copy from that, that is the most authentic feedback you can receive from a human being. Yeah. That's so cool.

[01:07:06] Sue Bryce | Don't be afraid of asking for feedback. You've gotta be good in order you gotta suck in order to be good. You gotta be both, to someone you're always gonna suck. No matter what you do, it just you will always trigger somebody in that way. It does not matter.

[01:07:21] Sue Bryce | Okay. Ask some questions. Alright. Ask me questions so I can wrap them up, and I won't keep you for such a long session today. Sounds like some are really excited and some are really terrified, but

[01:07:45] Chatroom Host | so everybody's got a little bit more clarity on the kind of feedback

[01:07:48] Sue Bryce | they need. Can

[01:07:48] Sue Bryce | you tell me who wouldn't do it right now? Like, I get that Sam's new, but even you. So Sam, when it comes to, like, creating this new brand, What area of brand do you feel like you're strong at? Would you say, I think networking, I think marketing, or I think systems, or I think, like, what area instantly goes, oh, these are my areas? Well, I like doing systems for other people, like, kinda helping them get organized and stuff like that.

[01:08:15] Sue Bryce | And then also, like, day of help. Basically, it's a So you could be part of a focus group by telling people what you bring to the table if it's what they need. Right. You know, in exchange for the newbie, but again, I would probably be more at an advanced level. My group, because my business is at an advanced level, so I would more likely choose people who are at a little bit more of an advanced level, but from a start up level, that would make you perfect for that.

[01:08:46] Sue Bryce | Okay.

[01:08:46] Sue Bryce | Yeah. So really, I think what's important is that we identify what we each bring to the table. And what we bring to the table that can actually help the person that's sitting in the

[01:08:56] Sue Bryce | hot seat. Otherwise, it's not gonna feel good, or it's not

[01:08:56] Sue Bryce | gonna really benefit you. And, yeah, I hope lots of you start this, and I would love to do one. Alright. No more questions. Anybody in here got a question?

[01:09:22] Sue Bryce | Can I be a personal brand and a company brand? I'm always told I am biting my brand, so that's good. Do I develop my personal brand? So if you're a company brand, it's a name that's not yours, and it usually means you're going to have business partners. Unless my name, Subrise was licensed as a company.

[01:09:40] Sue Bryce | So I'm Subrise Education. They licensed my name, and I had business partners, but my personal name was licensed as a company brand. Normally, if you're a company brand, you're not your name, and therefore, you're building it to sell, or you're building it to be 8 figures or more. And because company brands get to 8 figures, personal brands not company brands with licensed names get to 8 figures, but personal brands don't because it's too much for a sole print solo printer to create systems around you to get to 8 figures. But the idea is if you're a personal brand, you've gotta be the person in the brand.

[01:10:22] Sue Bryce | So how crazy that of all the 400 personal brands during this workshop, none of you had about pages that represented a personal brand, not even me. And yet, because we're personal brands, we have to be the main feature of that website because we chose to be called our name. Now if you're a company brand, the goal is to personalize it. So you can be the person in the brand. You can be the person and the brand.

[01:10:53] Sue Bryce | Steve Jobs, Apple, 2 brands, a company brand, a personal brand, but collectively, Jordan, Nike. The most popular growth of the biggest brands are when you take a company brand and a personal brand, and you merge them together, we don't follow people. So we don't follow companies. We follow people. So if you're a company brand, you have to be the person in the brand, if you wanna connect it.

[01:11:20] Sue Bryce | Personal brands are trying to grow and stand out. Company brands are trying to be more personalized. So that they're not just a company or a corporation. So you can absolutely call your business something else, but you must exist as a personal brand in your business. Otherwise, you're not building yourself in that business and usually that's because you're hiding.

[01:11:44] Sue Bryce | Alright. Do you have another place to learn more about masterminds and balancing time each member ask me now. We're right in it. Like, we're literally sitting in it. Like, up to the armpits, but you want me to find another resource for you to go and get more answers for afterwards, Ariel.

[01:12:08] Sue Bryce | Here I am. I'm about to shut it down. So start asking me questions. If you guys don't ask me questions, I just fill this space and then I go. So go, go.

[01:12:18] Sue Bryce | Come on. Let's go. We've got at least 15 minutes, and I'll still get you out of here in an hour and a half.

[01:12:24] Chatroom Host | Ingrid's asking, how do you find the right group? Do some casting because you mentioned starter and advanced groups.

[01:12:31] Sue Bryce | Okay. A startup group would be five people at Sam's level who are conceptualizing a brand and have not launched yet. Do you have a website? No. So no website, right?

[01:12:42] Sue Bryce | That's a startup collective of startup businesses. You're talking about a whole lot of people that now have concepts, and they're now bringing together what will my products be, what will my brand look like? Okay. And then there's a brand that's operational, taking money might not be profitable, but they've got to change something, evolve something, or go to the next level. And that there is where I'd see, 2 different teams.

[01:13:11] Sue Bryce | A more advanced level, I'm not looking for people that have $10,000,000 companies to be in a more advanced mastermind. I'm looking for people that have an expertise in a certain field. Like my friend Sally Sarkoed, she's 10 years of animoto marketing video.

[01:13:30] Sue Bryce | She knows more about video marketing stats and, like,

[01:13:30] Sue Bryce | the playbook that I've ever heard anybody say, and she's so up to date, I would instantly put her on my, in my panel, because she can bring a marketing video insight to me on a broadcasting level, on an advertising level, marketing level that is really extraordinary. I want players like her, now she doesn't own a company, and she does not has not built, $1,000,000 company, but what she does is specializes in this one incredible field. So I would 100% want her on my focus group. She also has a part time online business, and I know that if I pitched it to her, she would fly here, do that for 4 others, and do mine and we'd be able to do hers as well, because I'm watching this marketing expert, not being a marketing expert in her own brand. Because it's hard when it's your brand, right?

[01:14:32] Sue Bryce | And you do it for other people. And then you're like, So it's like we bring something, as long as there's something to the table, you would definitely have to gather the right people, and you'd also have to be prepared for disappointment. Like, let's say, Natalie comes to our group, we do her brand first, she gets so much out of it, and then she's a no show, or, you know, she's comes to the group, but she's quite shut down, talks about herself. In that moment, you're gonna have four people that are very disappointed. So it almost has to be in a way where it's like, you could do three people that you really trust, a triangle, and just say, the 3 of us are gonna do this in one day.

[01:15:17] Sue Bryce | We're gonna spend 2 hours on your brand, 2 hours on your brand and then 2 hours on mine. And we're gonna clear cut in between each 2 hours, go to break, go and eat lunch, walk away, finish off. Like, if we spent the morning with Sam, Sam's eating lunch going, guys. I'm like, my mind is blown. I'm terrified.

[01:15:37] Sue Bryce | I I look at my notes. I'm like, I can't believe this. But Sam's questions are answered at before lunch is finished. And then we go straight in, and now we're focused on you. And it's just all you for the next 2 hours.

[01:15:53] Sue Bryce | Now, that's a day together, 3 powerhouse people that can all bring something to the table. It won't take long to find your people. You know, you just have to understand how do human beings work. You're not giving as much as I give. I gave so much more than they gave, and then we're out of balance.

[01:16:12] Sue Bryce | Okay. Once people feel out of balance, it not fair. Me, me, me, me, me, and there's no crying in baseball. So this is no I don't wanna deal with this drama. I wanna make sure my crew is there to move the needle my needle, and then I wanna move your needle.

[01:16:28] Sue Bryce | Yeah. Also, Craig didn't write in the chat when do we start filming? I'm quite surprised by that. Okay. Have how have focus groups shaped your biggest breakthroughs?

[01:16:40] Sue Bryce | For me, I'll tell you something that happened, Sarah, I didn't even know how this happened. I built my little home studio in the garage when I first started out. And I was, how am I gonna do this? You know, back then, that story, couldn't market my I've couldn't ask for money. My boss used to sell my work for $7000, $4000.

[01:17:04] Sue Bryce | I couldn't get 400. Every time I went into a sales session, they would tell me I was cheap, fold their arms, shut me down, I was like, I don't know. It's the same work. I don't know what I'm doing wrong. I worked out.

[01:17:16] Sue Bryce | I didn't know anything about money. I'm overgiver. I'm I'm repelling people around money. I couldn't speak money out. I'm learning all this stuff.

[01:17:26] Sue Bryce | I did a group back then, and

[01:17:27] Sue Bryce | Robert Bacoli turned up. Robert Bacoli is one of the most awarded, successful portrait photographers in Australia. He's about, I'd know, twenty years older than me,

[01:17:42] Sue Bryce | So if I was doing this in 2000 and that was 2005, 9, 20 years ago? Okay. So 20 years ago, I was, what, 33 in the feedback, he said to me now I've just built my studio in the garage. What he didn't know? Oh my god.

[01:18:03] Sue Bryce | My old boss said, Sue's just built that garage studio. I'm gonna drive you down there. I don't this guy's studio Melbourne is $3,000,000. But can you imagine coming to my garage in my little old country house? Robert Bacoli used to make wedding albums that were about the wedding album alone was about a $1000.

[01:18:24] Sue Bryce | And then you'd put the photos in because he did weddings in Melbourne that were, like, $100,000 for the wedding photos, and he was the highest end. One day, we had one of his albums at our studio in New Zealand, and it had a gouge on it And I had to unscrew the album, take the pages out, order a new album from Melbourne, replace it. And as I was wrapping it for the new client, I looked at this big metal album Folio cover. It was like this big. And I knew it was like a $1000.

[01:18:58] Sue Bryce | And all they had to do was like put new pages in it. And it had a gouge on the back, but who cares? It was big metal. So my boss threw it in the trash, and I got in the dumpster. I didn't tell my boss.

[01:19:14] Sue Bryce | I snuck into the dumpster when I got into my car that night and took it. So over the year, I'd saved spare pages from building these beautiful big albums, and I had these all these spare pages. So I built this album smack bang in my studio. I had a $1000 Robert Fekola Folio album, a big one, retoured everything, and I was like, I have to hide it because he's coming to my studio, and I took it out of the dumpster. I never told him I had it.

[01:19:48] Sue Bryce | And, It's so funny. He walked in, and then we're doing the feedback, and I told him that I did this feedback group to work out, because people were telling me you can't start a business without wedding photography. And I was like, but I don't shoot weddings. I don't wanna do weddings. You can't start a portrait business without babies, your families.

[01:20:09] Sue Bryce | And I was like, but I don't wanna do that. I just wanna do this one genre, and everyone keeps saying no. So I got smart people in the room, and they asked them, and nobody said no. Robert Bacoli said something to me that day, but nearly made me throw up in my mouth. He looked at me, and he said, I see you at the forefront of international photography in the next 5 years.

[01:20:32] Sue Bryce | This was before I even thought about leaving the studio I was about to build. This was before I built the studio in town, before I left, like, way before then, and I was like, wait, you see me? At the forefront of international photography in the next 5 years. And I said, yeah, and I was like, Weird, wrote it down. And to this day, I still marvel at that.

[01:21:00] Sue Bryce | Because I built my studio in the city 3 years later, and I was there for 2 years before I went to Australia to build it. I wasn't even education was not on my mind, franchise was not on my mind. I hadn't even built my big studio yet. And when he said it to me, I laughed, but

[01:21:15] Sue Bryce | I knew it was truth. The cells in my body, when he's speaking the truth.

[01:21:29] Sue Bryce | And I was like, how could he be speaking? The truth?

[01:21:32] Sue Bryce | But it's so deceit. And it was a seed of, I know that's

[01:21:40] Sue Bryce | true. And if that's what I want, then I need to create the next steps to get there. Right? And you can have whatever you want in your timeline if you create the timeline to it. So the feedback is about giving you knowledge.

[01:21:59] Sue Bryce | Another feedback that changed my will was there was, dude at the end at IPP, and he was very high up with Fuji Australia, and he was presenting there. And I did a focus with him as well, group with him, And he ended up coming to my studio, the big studio in the city, and saw that for the first time. And he gave me feedback that day that changed my life. He sat down, and he said, I have been to Maybe 500 studios in New Zealand, Australia, and the UK, and I have never seen a business like this. Never.

[01:22:52] Sue Bryce | He said, I have two questions for you.

[01:22:54] Sue Bryce | Who are you? And where have you been? And I was like, my name is Sue Bryce.

[01:23:04] Sue Bryce | And I've been busy. When he told me that, I was like, what do you mean? I have something special? I couldn't see it. I study speakers.

[01:23:20] Sue Bryce | I study them. I watch them for authenticity. I watch them for cadence, for

[01:23:22] Sue Bryce | tone, for content. I watch their body language. I watch how confident they

[01:23:22] Sue Bryce | are, how comfortable they are, how powerful they are, I watch myself. I don't get it. I don't see it. I don't know why people resonate with my voice. I watch it.

[01:23:40] Sue Bryce | Sometimes I watch it and I go, oh, that was really good. But I don't see it. You cannot see it when it's you. And the way somebody else sees you is like, it's a game changer. It's like so all that feedback made me understand I'm better than I think I am.

[01:24:00] Sue Bryce | And I have more than I think I have. And I have a whole lot to

[01:24:05] Sue Bryce | give people. And if I keep doing this and making money

[01:24:05] Sue Bryce | doing it, then I can 100% show people how to do that. So it gave me, like, the steps that

[01:24:16] Sue Bryce | I needed to go forward. Mhmm. We have a few questions now. What are the time investments that you suggest for these focus groups?

[01:24:16] Sue Bryce | You know,

[01:24:19] Sue Bryce | I

[01:24:29] Sue Bryce | How much are you prepared to give back? Cause whatever time you take, you must be prepared to pay for an equal exchange or value. So whatever your equal exchange or value is what it should be.

[01:24:42] Chatroom Host | In your experience, do you recommend somebody using their own name as their brand?

[01:24:46] Sue Bryce | I think you are a personal brand or a company brand. A company brand is to grow and to sell.

[01:24:47] Sue Bryce | It makes it a lot easier. A personal brand is around you. And you can grow within the personal brand and evolve it as much as you want, but it really comes down to do you plan on having business partners? Cause if you do, it's a company brand. Do you plan on selling it?

[01:25:09] Sue Bryce | It's a company brand. And if you plan on building it

[01:25:12] Sue Bryce | around you, it's a personal brand. What if your business is you and your partner? Then you're

[01:25:12] Sue Bryce | a company brand. But if it's your name, then that person has license over your name, so be careful. Cause I

[01:25:27] Sue Bryce | charge for licensing my name. What if the people you want in your focus

[01:25:27] Sue Bryce | group aren't really interested in your specific business or brand? Don't let them come into your focus group. Tell them to create their own.

[01:25:42] Chatroom Host | Would you invite somebody who

[01:25:44] Sue Bryce | is in the exact same z business as you? Oh, this is a big one. Okay. I can objectively give you feedback as

[01:25:44] Chatroom Host | a photographer.

[01:25:54] Sue Bryce | Because I am an educator of photographers.

[01:25:57] Sue Bryce | Also, I can give you feedback as a photographer because there is

[01:25:57] Sue Bryce | no ego in my feedback. Like, if you're a better photographer than me, that's the first feedback you'll get. You're way better

[01:26:12] Sue Bryce | than I was. I'm not shy about that. Like, it's real life for me, but I'm a little bit unique like that. So,

[01:26:22] Sue Bryce | I've recently been, you know, I pick and choose who I brainstorm with, but I just realized I've been brainstorming with somebody that that has their best interests instead of mine, because they've started to, like, anything I say they've started to take those steps. And I was like, for themselves. Mhmm. And I was like, that's cool, but it's clearly in a way that it's, like, not for me. And I was like, oh, so you have to be careful who you give an equal exchange too, and they have to.

[01:26:51] Sue Bryce | So I would say pre interview, really sit down and talk, show them who the players are, what they bring to the table. I would start with three people and build up from there if you wanted to. Yeah. But, like, keep it tight.

[01:27:05] Chatroom Host | Do you have any recommendations on how to ask for a focus group and how to set expectations?

[01:27:10] Sue Bryce | Okay. So the first thing I would do is create a focus group. Like, I can afford a chef's dinner, and it's so valuable to me that I could do that and pay $300, $400 for a fancy chef to cook at a table for 10. That to me would be a way to get you there, but I want you to work when you're there. I want you to give while you're there, and

[01:27:36] Sue Bryce | I also want you to receive. So I'm more interested in a focus group where

[01:27:36] Sue Bryce | it's we take turns. You know, could you charge for it? Yes. You could. And then you're gonna get a whole lot of people that have to show up because they're paid for it.

[01:27:53] Sue Bryce | But keeping it small at 1st to 3 would be one day, one whole day together or or 3 days over 2 weeks, or one day a week for 3 weeks, we focus on 1 business a week. You know, I would start small and go

[01:28:07] Sue Bryce | from there. Yeah, it would be

[01:28:07] Sue Bryce | hard if the person that you're talking to wants some the same things that you want. Okay. For instance, we were at Lewis House Workshop, and

[01:28:22] Sue Bryce | there's, I think, four thousand people in the audience. And there's a lot of great speakers on stage. They're all on,

[01:28:23] Sue Bryce | you know, Instagram. They're all big fellows. Every one of them had a book, and every one of them had at

[01:28:37] Sue Bryce | least 2,000,000 followers on Instagram. I don't have a book. I have 200,000 followers on Instagram. When you compare me

[01:28:37] Sue Bryce | to Esther Parral or, you know, David Goggan so that I would not qualify for that stage. And I've been speaking for 15 years. Am I good enough to stand on that stage? Yes. And if I wanted to be on that stage, I would have to take at least 4 new steps towards focusing on getting on those big stages, grow my audience, start posting more coaching work, and I'm still at my crossroads.

[01:29:16] Sue Bryce | I'm still teaching all the content that I know to see what lights me up, to see what moves your needle, to see what connects to me. That's why doing the prediction is so incredible. Because you do this prediction, and it's telling you what, you know, it's just a prediction on chat, but giving me all of these words and ideas, and it's really powerful. So yeah.

