==== Start of Transcript: Personal Brand Coaching Week 8 ====

Coaching Week 8 - 

[00:00:00] Sue Bryce | Hi, everyone. Sarah said
[00:42:55] Sue Bryce | Create a hot seat. Did everyone want to do that, or would anyone wanna scared of that, or would anyone like more of that? Like, let's work around more of doing that because I would love to see people in the hot seat, and I would love people around you telling you about your brand and about you so that you can really push into that. The reason you do it is what question do you really need clarity around? And I think that that's very, very important.

[00:43:21] Sue Bryce | You need to understand how other people see you, so work out what it is that you need to know from these people and ask them that. Remember, reward this group or return the service. So either create a network where people are also able to experience this with you but when you create a focus group with you in the hot seat, everybody is there to make your brand better. Everyone is there to make you better, and I have to challenge you just in one question when I said this during that session, who do you go to for help? Do you go to when you need inspiration?

[00:43:55] Sue Bryce | Who do you go to when you can't work something out in your business? Who do you go to when you need the truth? Who do you go to when you need somebody sitting back at you, showing you who you are, who do you trust enough to say, this this is my vision for myself because as soon as you put your vision in front of other people, you'll get division because they will put their 10¢ and they will divide your vision. And right then, who do you go to? Because all I learned was when I built my business, I felt the most isolated I have ever felt in my life.

[00:44:29] Sue Bryce | I felt like I didn't have peers that I could talk to. I felt like if I did, they judged the money I was making or how I was doing things, I felt like people outside of my industry gave me stupid advice, and I'd be like, that doesn't apply to me. That's not even my industry. So I felt really alone, and I felt like there wasn't anywhere I could go. And when I could go there, there were dreams that I had that I didn't wanna share because you're also building the same business.

[00:44:55] Sue Bryce | And if you hear my big vision and you get weird about it, then we can't be friends anymore. See? It was like, it's one of those things. It's like, but to be able to sit in the hot seat of people dedicated to just bring you this information about you and your business, that's what you're doing it for. In your marketing, I pushed very hard to stop selling.

[00:45:18] Sue Bryce | No more selling in your marketing, we show don't tell I've put these slides in because these slides are important. If you're struggling with your marketing text, you need to understand that you're gonna sell everything but the products so you need to tell me what your value is. I've put these in there because these are big ones. Show the benefits show how it's used, show the joy of wanting it, getting it, enjoying it, using it, show the experience, the gift, the reaction, the transformation, show the connection, show the creativity, show the empowerment, show the fun, show the education, show the founder story, show your story, Show the product story, the brand story, show all of your client stories, show the making of it, show the creation process, show the crafting of it, the mastery, show the manufacturing, show the how, and show the why. And then invite everybody on your social media to come to your community and join your community.

[00:46:11] Sue Bryce | These are the people you're selling to. You are not selling on social media. You are entertaining, engaging, inspiring, empowering, you are just engaging people there. But every time you say join my VIP list, join my network, join my community, join my members only group, join my newsletter, join the revolution. You bring those people, the people that you can sell to to a private space.

[00:46:38] Sue Bryce | And that's why I don't sell on Instagram. I sell privately in a community or in an email group. So build that list Now reward that list because this is the biggest problem. We finally build a social media, and then we've gotta build that list, and we finally build the list, but we spend all of our energy making social media posts for the people that don't buy. And you're not rewarding that 10% or that 5% that said, I'll give you my email.

[00:47:10] Sue Bryce | I wanna know more. So what are we doing that for? You know, you're spending all this energy trying to be good enough for a group of strangers that are not on your list that don't wanna buy from you that just and they might be people in your industry just following you to get tips or just to check out why they don't like you or compete with you in their own head every single day. And all those people, and yet the most valuable people are the people that you can reward that you're inviting to your private list. So find a way to communicate with those people that get more than the people on your social media do.

[00:47:49] Sue Bryce | Otherwise, you will keep growing your social. You won't grow a community. You won't sell to anybody. You'll live 500,000 followers and no money. And that's not how you make money.

[00:48:01] Sue Bryce | You don't you don't make money just because they follow you. That's not how it works. In fact, it's absolutely not how it works. If you could create a lead generator video for your business for your clients, or for your peers, what would it be and what's stopping you from doing it right now? Whatever you sell, whether it's coaching, a product, or a service, the second that it's sold out, open a wait list.

[00:48:31] Sue Bryce | Okay? And then instead of selling on social media, you go to social media and you say this is already sold out. So people are like, I didn't even get a chance to buy it. They will be indignant. But if you post 8 selling posts, like, buy this workshop, buy this workshop, buy this workshop, they're all like, oh, stinky.

[00:48:54] Sue Bryce | The second you go on there and say, my workshop's sold out. Next one is in 8 weeks, but you you need to get on my waiting list because these are going fast. As soon as you're fully booked, sell it out, and create demand around you. Okay. Ask yourself, who do I want following me?

[00:49:13] Sue Bryce | I used photographers as an example because I used to post for my clients. And as I became an educator, I stopped posting to my clients and I started posting more to photographers. However, What you don't realize is all I ever did was post 2 photographers about my clients, which ironically also got me more clients, but you have to really work out who the audience is. Now if you wanna sell stuff in a community, you could bring the peers to a community and keep your social media as you're following. That's a good one, and that works.

[00:49:49] Sue Bryce | But who are you talking to because that's what you need to focus on. Who is the following that I'm building right now? I want you to work on join the community, the wait list, or the newsletter, subscribe, newsletter, YouTube channel membership, follow Instagram Pinterest TikTok with Facebook, whatever your social media is. An audience is a product because people can pay you as an ambassador or an influencer or a product ambassador and the more audience you have, the more they will pay you. For appearances, the more they'll pay you for products, the more you'll get sponsorship for products, but an audience is not a community.

[00:50:29] Sue Bryce | Don't mix up the 2. A community is what you invite them to as you're in a circle. An audience is a social following. They want engagement and entertainment. A community wants connection and 1 on 1 engagement, and they will buy from you.

[00:50:44] Sue Bryce | Find out how you wanna do this, know to Facebook groups. If you want to learn how to sell, change the way you feel about yourself and your product. If you struggle to sell there is something about you and your product that you're holding back, and that is a value problem. I want you to elevate your energy every single time you come to this business. And I don't just mean when you walk into it, Elevate your energy when you go on social media.

[00:51:16] Sue Bryce | Elevate your energy first. Speak from a place of respect and speak from a place of giving and speak from a place of expertise and watch people treat you like that. Bring your full self to everything you do in the business. It's palpable. You can feel it.

[00:51:33] Sue Bryce | And that's why when people are not authentic with what they're saying, you can feel it, but you don't know what it is. You just know something's off, and it's so palpable and yet it's online and you're like, oh, why? Like, why am I feeling this way? But what you're what you're really, really noticing is it's just not authentic. It's not authentic to the person who's speaking.

[00:51:56] Sue Bryce | I'm a big goal setter because I wanna take action, but then I spend a lot of time in alignment, so taking action is my next step because if you're in alignment and you're talking about something, it's inevitable it's gonna come to fruition. So every single day, I connect to my goals. I know what I want as a big goal. I also know that I create the vision for it. I know what I want.

[00:52:19] Sue Bryce | I create the vision for it. I speak it out. Okay. I love it, and then I take action doing it. I know the path that I have to take in order to make something happen, but that for me, every single day is I just wanna reconnect to the goals.

[00:52:37] Sue Bryce | You don't realize in business how often And I know this because when I said it out loud the first time, I can't remember where it was. It must have been around segment 5 or 6. I watched everyone in the room energy shift, and I saw the chat roll really, really fast. And I said, start doing what you say you're gonna do because we talk a lot. Right?

[00:53:01] Sue Bryce | We talk a lot about what we don't want. We talk a lot about the next steps. We talk a lot about can I? We hear ourselves say it. But when you say you're gonna do something, do it.

[00:53:12] Sue Bryce | Do it. If you're scared to go networking, but you gotta do it. Like, you face it, man. Watch yourself. I found a resilience in myself.

[00:53:24] Sue Bryce | I didn't know I was capable of when I told myself that day, I'm gonna do it. I'm gonna do what I say I'm gonna do. And I was crying and remember I was railing at the universe and then the canon was calling, but I couldn't hear because I was screaming. And that's what I was saying. You're not doing You're not doing it.

[00:53:49] Sue Bryce | You say you're doing it. You're thinking about it, but you're actually not doing it. You're too scared. You're living scared. Stop living scared.

[00:53:57] Sue Bryce | I'm gonna start doing it. You need to have a difficult conversation with someone. Do it. It'll all be gone. The difficulty is all gone.

[00:54:07] Sue Bryce | The feeling is all gone. You know, if you need to set a boundary with someone, do it. If you need to take that next step in your business, do it. Just do it, do what you say you're gonna do, and I tell you why it's you when you how many times if you had a lover that told you every day they were gonna do something and they didn't do it, how much respect would you lose for them? If every day, they looked at you and said, I'm gonna do this thing, and then they didn't do it.

[00:54:36] Sue Bryce | How many years would you listen to that before you heard somebody go, I'm gonna do it. And you go, but you don't. You're not. You're not doing it. How much respect would you lose if somebody said, I'm gonna do that tomorrow, and you go, okay, and you turn up tomorrow, and they haven't done it.

[00:55:03] Sue Bryce | And you go, you you said you were gonna do that thing for me. And you were like, well, I couldn't because I didn't think I could or wanted to. And you're like, okay. This is what we do to ourselves. And you think it's that you're sitting back doing it, but you're actually not doing it.

[00:55:20] Sue Bryce | And when I think in those darkest moments of the I'm gonna do it. That's what I was saying. I was actually saying I'm gonna overcome my fear, and I'm gonna do what I say I'm gonna do. And then I started, would you believe it, to do what I said I was gonna do? And I ended up here in a year.

[00:55:36] Sue Bryce | So that tells me that I simply was not doing it. Time is the most valuable commodity you have. Once you work that out, you will be very, very,

[00:55:46] Sue Bryce | very, very, very careful about who you

[00:55:46] Sue Bryce | spend your time within how you spend it. It's finite Once it's gone, you don't get it back. You're trading money for time, and the time you're trading is with your family. So if you can't see yourself as valuable, start seeing your time is valuable and what that change your value. Every day, I want you to have a personal priority, right?

[00:56:12] Sue Bryce | Every day you're gonna prioritize, and they say choose 3. So you can create work, you can move your body, you can do friends and social, you can do play hobbies, spouse family, self care, or rest. But every single day, your daily ritual needs to start. I'm a business owner, and I'm a parent. I need to get my family up, happy, and healthy, and out the store.

[00:56:35] Sue Bryce | I need to get myself up happy, healthy, and out this door and bring my full energy to this business so that I can serve and receive an equal exchange. So having a daily ritual is so important. Every single day before I come to the table, I connect to what I create. I can tell you because, look, my truth is already here. I connect to what I create.

[00:57:00] Sue Bryce | Oh, I connect to the people I create with. I connect to the people I create for, and I connect to

[00:57:10] Sue Bryce | why I create. I feel those 4 things in

[00:57:20] Sue Bryce | every cell of my body. This is magic. I love who I am, and I love what I make, and I love what I've created, and I love what I get to share with my clients and the people in this room and the people out there right now. And every single day, I do that. I connect to what I create.

[00:57:42] Sue Bryce | I connect to the people I create with. I connect to the people I create for. I connect to why I create and then I sit there and just gratitude that I am a creator and I make my own money, and I am fully independent, and I get to create every day and what an incredible gift that I have, built. Not been given. What an incredible gift that I have built.

[00:58:20] Sue Bryce | I built the business for me. So let's set your business goals. And every day, you reconnect to those goals, and those goals have to be the path forward and they have to be the true path. And they have to every single day. Now I know you're working on one of these 6 things.

[00:58:38] Sue Bryce | I know you are because in a personal brand, you're either working on the identity of the brand, you're either working on the product still because you don't think it's valuable yet. You're working on the systems around you that bring you momentum and money. You're working on your marketing content. You're working on your networking content in person, or you're working on just that connection and clarity in your business and your brand. But really, I asked you guys if there were more and those six things seemed to be really good focus points.

[00:59:07] Sue Bryce | So if you don't know what to work on tomorrow, look at that list and ask yourself, where do I really need to turn my attention? Is there one of those lines I'm avoiding? Like, let's say you're avoiding your marketing content or building that sales system or building that money system that's gonna get you more money, I need you to stop avoiding choose one of these areas and focus on it every day create a goal on every single line. These are outstanding action points, and all of them will contribute to your business. Every single day, if you didn't even know what to do, I would wake up and go, okay.

[00:59:44] Sue Bryce | I'm gonna look at my taking care of business list. And on my taking care of business list, let's have a look. Alright. I need to do some work around my product. I know I have not created an experience for my clients.

[00:59:55] Sue Bryce | I know that one of my products needs to be pulled. It needs to be redesigned. It needs to be reconnected to because sometimes I create things, and then I lose a love for them, and I have to go and redo them again to find the love that I have for them. And then I'm like, wait, this is really good stuff, and I like this. Now I'm reconnected to that product again.

[01:00:15] Sue Bryce | I mean, it's crazy, but it is true. I want you to focus on everything you do in your personal brand is to elevate you in the personal brand to get a position that elevates you in this personal brand. You're not there to elevate others. You're not there to build an entourage. You're not there to make your makeup artist or your designer or your bookkeeper more successful than you, which is what you're all trying to do, you're not there to elevate other people.

[01:00:42] Sue Bryce | You are there to position and elevate yourself as a business owner and a service provider. I'm excited to see all of your new about pages. And when they are done, I've already seen a couple put them in the group. I wanna see them even if it's just better photo, better video, and a better description of who you are, we've gotta start putting you into the brand. So I said make it part sales page, make it part, you know, about page, you know, tell your business story, tell your brand story, put a narrative in there.

[01:01:11] Sue Bryce | You know, it's like an infographic or a resume and and anything on that page because that page is about you, and I really want you to put yourself out there. I want you to present your business networking. It is the fastest way to get a following. It's the fastest way to sell. It is the fastest way to make amazing connections to build a community is to stand up at a networking and talk about your business for 5 to 10 minutes.

[01:01:39] Sue Bryce | Because if you can't do that, that would be your next big challenge. And if you can't stand up and talk about your business for 5 minutes to a roomful of business owners, you're not ready to sell. You're not ready to put it out there. There's still too much am I good enough, too much me involved, too much shame, too much am I? Can I say that instead of giving proudly from a place of confidence knowing full well what you offer in your brand and your product?

[01:02:10] Sue Bryce | Survey your clients so that you can know about what you do right, what you do wrong, you can get data from them. You can get testimonials from them, but the reason that we do the survey is to understand how they experienced you and your product and your service and understand how your clients see you because you're going to be blown away when your clients, when they like you, they will tell you things about you that you're like, wow, I didn't know that. And then once you start hearing it, you're getting all this incredible feedback you'll start to know how they feel about you, and I think that that's really important for your focus group, create an evening, create a group, create a show, create a network. This would be a YouTube channel. This would be a show I could see hot seats running and people just as long as the person in the hot seat has 3 to 5 people that are contributing to their brand, I think it would be incredible to watch.

[01:03:09] Sue Bryce | And I'd like to watch multiple hot seats and see where incredible people can give ideas to people, like, that just the idea of starting that is incredible. Don't be afraid of it. Where do you need clarity? That's what you're gonna ask. Okay.

[01:03:25] Sue Bryce | That's the most important part. Don't just do it for them to blow smoke. You're not there to blow smoke. Although maybe sometimes you are, maybe that's what you need. Maybe part of the group could be Okay, guys.

[01:03:42] Sue Bryce | In this part of the segment, this is about totally blowing smoke. I just want you superficially to give me, you know, some heads up on, like, how you think other people see me from the outside in, like, what it is, but then also speak to that authentic part of me, like whatever you need to know. I always say the fastest way for you to understand what your business needs right now is to answer this question like you are telling me. Okay? So if I subrise right now, I'm looking at each of you individually, if I subrise could solve a problem for you and your business right now, what would that be?

[01:04:27] Sue Bryce | If you were to come sit in front of me, I go. Hey.

[01:04:33] Sue Bryce | Go.

[01:04:35] Sue Bryce | And you could tell me your problem, and I could solve it. What is that problem? That's what you need to know. If I, surprise, could solve one big problem with you selling, what would that be? If I could solve one big problem with your marketing, What would that be?

[01:05:00] Sue Bryce | And if I could solve one big problem for you personally, what could that be? And when you tell me what you need to solve in all four of those areas, your business will move forward. But you have to identify the problem. Because what makes you think I could solve it? Until you identify the problem, no one can solve it, especially you.

[01:05:35] Sue Bryce | So we start this way. We start with the Sue's gonna solve this problem for me, and you know it's not. It's there so that you can work out what the problem is. Nobody can fix it until you decide. But if there's a problem to solve for you personally, Find out what it is.

[01:05:51] Sue Bryce | And if there's a little problem you need to solve with your marketing, with your selling, with your business, find out what it is, and the easiest way to do that is imagine you're coming to tell me what the problem is. That's what you need to work on. Those 4 things are stopping you from moving forward, what you believe they are. Shift your focus out of, retail mindset. Retailers put a 100% markup on their clothes.

[01:06:19] Sue Bryce | So when they sell something for 70% off, it's still wholesale plus profit. They only take it to 70% off. There's no 80% 90% off, 99% off, there's only 80% off, or 70 to 80% off because that's literally all of the margin they were gonna make. But selling that product for $30, even though the margin, the Martin $30 selling it for 300, they still get paid. The wholesaler still gets paid.

[01:06:45] Sue Bryce | The retail store still gets paid. Crazy, isn't it? But we don't think of money like this. So if I have a $300 product and my Thrive now is $6000 in my head, I'm just like, I need to sell 20 of those, and I'll hit my Thrive. No.

[01:07:05] Sue Bryce | No. No. No. My margin from the 300 is a $100, so I would need to sell 6 day of those to hit my $6000. And the best part is is I would

[01:07:13] Sue Bryce | receive $18,000,

[01:07:13] Sue Bryce | and I would think that

[01:07:13] Sue Bryce | was all

[01:07:13] Sue Bryce | my money. This is so basic but this is the mentality that stops businesses from moving forward. And and it's funny when you say really basic stuff like this because people are like, well, duh, and yet you're thinking, oh, I calculate from my whole my retail, not my wholesale, I

[01:07:38] Sue Bryce | calculate from, my total gross income, not from my targeted budget

[01:07:38] Sue Bryce | that I've set aside for me and not from my

[01:07:41] Sue Bryce | margin.

[01:07:51] Sue Bryce | And that's how you need to start thinking like a business owner. Now if you're gonna sell your business, what they're gonna do is they're gonna look at how much do you sell this product for? And you're at $300 and they go, cool. How much does it cost to make it? 200, because my margin is only 100.

[01:08:08] Sue Bryce | Right? How many units do you sell per year? And then you tell them that's how people buy a business. Nothing else. So units in, units out, how much does it cost to make it, manufacture it, deliver it?

[01:08:24] Sue Bryce | Is there a profit margin? Is there a goodwill in this business? And that's a 6 time EBITDA on your profit margin? K. Incredible.

[01:08:32] Sue Bryce | So if we worked our businesses like this and we didn't take cash and we worked from our margin and sold from our margin, that's when we start making successful businesses on paper that can be sold. And yet most solar printers are operating with cash and not putting it all through their business, and they're operating from a total gross sales instead of from their margin. Change it. Get into a business mindset. That takes a bit of time.

[01:08:59] Sue Bryce | Remember this, how

[01:09:00] Sue Bryce | you think on the inside is your interior life and you attract

[01:09:00] Sue Bryce | from that place, how you feel, how you feel responds to how you think. It's that simple. All you have to do is master how you think and start changing your thoughts so that your reactions are always there. I have a big thing to say about discipline. If you have to discipline yourself, you don't want to do it.

[01:09:28] Sue Bryce | I don't believe you have to discipline yourself to do something you love. You don't. You joyfully show up. And if you have to make yourself do it, you don't want to do it. Now there's things we make ourselves do but don't discipline yourself in business.

[01:09:42] Sue Bryce | That's not how it works. This is where you need to discipline yourself. Spend some time reading through this list because when I really sat down and said, what is discipline? Discipline isn't making you do something. Discipline isn't that horrible thing like you're a failure, you have no discipline.

[01:09:59] Sue Bryce | It's about showing up the way you want to show up and connected to it every step of the way. So discipline yourself to set boundaries to make creative time for you, discipline yourself to put yourself first,

[01:10:13] Sue Bryce | and keep putting yourself first so that you can serve others around you. Remember that the most

[01:10:13] Sue Bryce | authentic you will ever feel is your truth And when you film yourself and you struggle to watch it, it's because it's not authentic to you. Keep talking until you find your authenticity. It's off the charts. It rates higher than happiness, joy, It erates higher than rage as an energy, love, authenticity. Authenticity is the truth.

[01:10:38] Sue Bryce | My truth. Now if my truth rings true for you, you identify my authenticity easy because you have the same feeling, but it's my truth. It's what what makes what I want. It's about what I want to create and who I am and what I feel inside and being brave enough to show people that because you it's so amazing. I thought I was, like, not polished when I first started speaking, and and and I'm still not.

[01:11:24] Sue Bryce | But I was like, if you're authentic and people connect with your authentic, that's an authenticity.

[01:11:29] Sue Bryce | They won't

[01:11:29] Sue Bryce | worry about stuff like that. Don't worry about if you said something wrong or think that because they just get the real the realness of you. So just don't be afraid to be the most authentic self in your business because you truly will just attract people that just love authentic energy and you start attracting really authentic people. And it

[01:11:47] Sue Bryce | doesn't matter if you think you look old or whatever. It's like the most

[01:11:48] Sue Bryce | authentic you will attract all those people around you, and it really truly. I say palpable because it truly is. Make the

[01:12:02] Sue Bryce | business for you. What have you got to lose?

[01:12:02] Sue Bryce | If it's not making money, why wouldn't you change if Like, if what you've been doing is not working, get a clue. Why would you create a business that you don't want? I want to create a business that I want to go to that I want to talk about, making things that I wanna make with the people I wanna make them with. That's what I want. So I remembered thinking when I was creating my business, I was searching for identity, And everything that I was being shown back to me was you can't do that and you can't do that and you can't do that because those are other people's limits.

[01:12:45] Sue Bryce | And I get that, but there was something inside me. There were 2 things. One was defiance Like, don't tell me what I can and can't do. Start there. If I wanna do something, I'm gonna do it, and I'm gonna prove it to you.

[01:13:01] Sue Bryce | So, like, you know, I was like, don't tell me I can't do something. And then all of a sudden, I keep thinking, I know that you're saying that won't work, and I agree with you, but I don't wanna do it that way. That's what I keep thinking. I know that you said I can't do it this way, but I think of your way, and I don't wanna do it your way. I wanna do it my way, and I wanna try.

[01:13:24] Sue Bryce | And at the bottom line for me was I'm not making money. So what's the worst thing that can happen? I will continue to not make money and guess what? I made $500,000 that year. In gross income.

[01:13:37] Sue Bryce | And I was

[01:13:37] Sue Bryce | like, and you all

[01:13:37] Sue Bryce | told me I couldn't do this. And you all told me I could not do this. That's when I set my mom down at the end of my 1st year, and I was like, mom, I borrowed $3000 off you to start my business. I paid that

[01:13:56] Sue Bryce | back tenfold, and that's when I set

[01:13:57] Sue Bryce | it down and said, mom, we need to talk, and she was like, what? And I was like, we we made $500,000 for my garage this year, and my mom was like, and I said, you, you, You told me I could do anything. You said the world is your oyster, and you said I could be anything I wanted to be, but you never told me about business. You never taught me about business. And that's when mom told me this story about my dad, not, you know, that their business failed when they were 23 years old, and I was like, I didn't even know this.

[01:14:34] Sue Bryce | And here I was telling this to my mom, and I I felt like somebody had given me the keys to the kingdom. And I just whipped it out. And I was like, nothing's gonna stop me now. Nothing is gonna stop me now. That was way before my rock bottom here, so, you know, it does stop you.

[01:14:56] Sue Bryce | The biggest lesson that you can learn in business is this is about giving. It's not about you, it's about giving. And they must be in balance and it must be an equal exchange. And Wallace Swaddlers in his book, the science of getting rich He says, do you wanna grab that? The science of getting rich, one of the things he says in that book is, give more than what you receive.

[01:15:21] Sue Bryce | He says, give more an every sense of the word than what you receive. Because when you give more than you receive, but you're in balance of receiving. So you're not just like going, no, no, you're actually receiving as well. You will always feel like you're a good person and that you're giving from that place of, like, abundance, which I love. Remember to always ask this in the multiverse every day?

[01:15:46] Sue Bryce | What do I want? And can I see it clearly? Because if I can't see it clearly, I cannot bring it to fruition. Can I speak it up and out? Can I speak about it with love?

[01:15:59] Sue Bryce | Am I doing it, or am I just talking about it? And when I think about doing it, how do I feel about it? And am I open to asking for and receiving this? Because you can't yearn for something. If you want something, wake up and activate the path to it and do it with that.

[01:16:21] Sue Bryce | So remember, the vision is clarity and heart connection. The action is doing it, and that's the magic because that's where the identity is formed. It's formed in the action, not in the vision. So you can sit at home and say, I want this for myself. I want this for myself.

[01:16:36] Sue Bryce | I want this for myself, but if you don't speak it out to anybody because, you know, people have poo pooed your dreams before, if you don't speak it out, you can't activate it. And if you don't, then fall in love with it, you can't do those steps. So get it out. Be specific. I want financial freedom.

[01:16:50] Sue Bryce | I want to be rich. I want to be pain free. That's great, but be specific. Write down what you want and truly want and be very clear about it. Okay?

[01:17:11] Sue Bryce | And do not ask for love. Do not ask for respect or do not ask for something that's external to you because that is not what you need. If you're asking for love, love yourself. If you're asking for respect, respect yourself. But if you feel like people don't love and respect you, it's because you don't love and respect yourself.

[01:17:30] Sue Bryce | Go and do that work. I want you to work on all four areas. So a business owner is a position of respect and authority. You're going into networking groups, you're somebody, you're a podcaster, a broadcaster, an educator, a designer, you're a creator, you're a business owner, stand proud, elevate yourself, and imagine that every single thing you do with every client in your business is about emotional intelligence. Okay?

[01:18:01] Sue Bryce | Self awareness around me, social awareness, around my people, self management, around around myself, managing myself and my emotions and my focus and my goals and my money and my business and my staff and my talent and then relationship management, building relationships and networking, building relationships with clients, there is a lot of growth in this area, and it all comes down to EQ, so nurture that, like push into it. What's your love language? Is that in your service? Is your love language in your words of marketing? What is the part of this that you can incorporate what you love the most and what your love language is into this business?

[01:18:43] Sue Bryce | What's your daily ritual for money? What's your daily ritual for goal setting and have you nailed your VIP time yet? Because until you start creating VIP time in your business for you to grow yourself, your money, and your business, you will not get this time. Nobody. Nobody will care about your time in solitude.

[01:19:04] Sue Bryce | It has no value to anybody but you. Alright? So if you give yourself away, it's gone. If you find yourself people pleasing, get a life by design. People pleasing just means I don't have my own needs.

[01:19:22] Sue Bryce | And so I just fall into other people's needs. So if you find yourself people pleasing and you realize I'm not fulfilled, I'm not connected. I'm not connected to goals. I'm not in love with my products. I don't back myself.

[01:19:37] Sue Bryce | I don't sell myself. I'm not there yet. Get a life by design. Stop people pleasing your life away. People pleases are resentful people.

[01:19:52] Sue Bryce | I know because I was one and my gallbladder collapsed, and that's pure resentment and bitterness. And I was so resentful that everybody else was getting their need met and my needs were never met. And, you know, I flipped people pleasing now. I used to think people pleasing were good people. I was a good person.

[01:20:13] Sue Bryce | I thought I was a good person that just put myself second So the other people more deserving could go in front of me. And the thing is with being a people pleaser is I didn't like who I was or what I said yes to or what I did. And then I just realized people pleases hate being disliked. It is the worst thing for them to set a boundary and have someone get angry at them for their own boundary. So one day I just sat down and I was like, I'm not gonna be a people pleasing anymore.

[01:20:48] Sue Bryce | It's okay if you don't like me. Yeah. It's okay. You might not know why I did something, but that's okay. I'm gonna live with it.

[01:20:58] Sue Bryce | So stop worrying about what everybody thinks about you. Most people don't care. They don't talk about you when you're not in the room, unless it elevates them in some way, or, well, yeah, because even when people talk about your negative plans to elevate themselves, so people don't care what you're doing, so just go and do it. And if you upset somebody by your actions, like if I did something that hurt you, I would apologize for that. But if I did something successful and that made you resent Paul and angry, that's not my problem.

[01:21:33] Sue Bryce | You're a stuck girlfriend. If you would like the way out, come and talk to me, and I'll tell you the way out. Again, I picked you. She'll just run it then. I always say focus on what you really want in life, right, the people you wanna live with,

[01:21:51] Sue Bryce | the

[01:21:51] Sue Bryce | things you wanna master, what you want to find joyful, the relationships you wanna have, the house you wanna live in, the healthy body you want to enjoy. Like, that's what you should be waking up to every single day and just walking towards that because that's like building a life by design of who you are and what you honor in yourself. A daily ritual of money growth will just bring you back to growing money. And also do this. This is a really good one because you had to pick which level you're at with money so whichever level you're at.

[01:22:23] Sue Bryce | And also, when I asked you to do this, I asked you not to describe your home income. I asked you to describe your business income, and most of you put your businesses back in survival. A lot of you were in management or sustainability with your family life, but when I asked you to do the money around your business, a lot of you went back to survival in your business, which told me your business is living month to month. And I want your business to have a security fund So you start at the top and you work your way down until you feel uncomfortable, and then you work on that line and the next line until you get to the next level of money. Reconnect your heart.

[01:23:06] Sue Bryce | Reconnect to to how and why you do business. It doesn't take even if I get sick of myself, sick of my business, sick of my whatever, sick of my routine, it doesn't take me long to sit down and start thinking about, going to work for somebody else. Like, I think I'm unemployable for starters but the idea that I would go and get a job is enough for me to be like snap out of anything. Like, I can find that real fast because I don't ever want to be back in that position again. Sometimes I get out of balance with my clients because I'm an overgiver, and then I feel like they're sucking my will to live.

[01:23:54] Sue Bryce | I have to take a break, reset my boundaries, and reconnect back to what I do, how I do it, why I do it, so that I can show up in my fullest version of myself. I want you to realize now as you're making your timelines towards what you want in every area of your business that the timeline is not about time. This is not in 2 years. I will have this thing. I told you it wasn't about time.

[01:24:22] Sue Bryce | That's why time is such such a hard thing to teach because time unfolds. It's it's not linear. It's not the next step and the next step, but your steps unfold time. Do you understand? You want something over there and you can see the 10 steps that you need to get there, that's a timeline.

[01:24:47] Sue Bryce | How fast that's gonna come to you is based on how connected you are to every one of those steps. So it's not based on time. It's based on steps. Don't take action. Get into alignment.

[01:25:00] Sue Bryce | Alignment forces action. Okay. For your future money, I need you to have money security in your business, start with 500, then a 1000, then 10,000, then $20,000, then a 100,000. Once you get to there, every single time the economy turns, a client cancels, you have a bad month, you break your ankle. Every time the money is just there.

[01:25:29] Sue Bryce | It's there to protect you, and it gives you a feeling of security and safety that is unparalleled every day in your daily ritual, I want you to take 5 minutes for well, you take a minute, abundance. However, you express your gratitude. I want you to focus on it, connect to it, create with it, create a timeline to it. I want you to hit your gratitude every day. And remember this one thing because I think it's so important gratitude is that something I'm receiving something I've asked for.

[01:26:03] Sue Bryce | So spend as much time asking for new things and gratitude for receiving what you've asked for because then you're gonna feel really good about this on a system. Every day I want you to reconnect to your alignment. Stay out of your mind loop, out of your comparison, out of the competition, refocus on what you want every day, replenish all those goals, process your emotions around it because focus and emotion is how you manifest. Right? And if you get stuck in your alignment, read yourself this.

[01:26:34] Sue Bryce | What do you want? Why do you want it? What is your intention here? What is the prayer or declaration around this? What is your vision?

[01:26:48] Sue Bryce | Do you have clarity? Is this spoken with truth? Do you feel authentic? What is your connection or your heart activation to this path you're about to walk and what is the action and the next congruence step that I need to take on my timeline to get what I want. You attract from how you feel, not what you think, How you feel is a reaction to how you think.

[01:27:21] Sue Bryce | Feelings are not emotions. You don't conquer your emotions. You conquer your thoughts, and that shifts your emotions. That slide is manifestation in a nutshell. You attract from how you feel, not what you think How you feel is a reaction to how you think feelings are not emotions.

[01:27:51] Sue Bryce | You don't conquer your emotions. You conquer your thoughts, and that shifts your emotions. The only thing in your head when you wake up in the morning are your thoughts. Yours. And they might be speaking somebody else's words.

[01:28:11] Sue Bryce | Like, Kate said this about me yesterday. Paul said this about me, but it's your voice. Be your thoughts. And then you're having emotional reaction to something you're thinking about that Kate said about you yesterday, you're having that. Kate's not.

[01:28:31] Sue Bryce | Kate's asleep. You're the one awake. Having the emotion, you're the one stuck in the loop, having the thought, and the response to it. And you're the one then attracting from that inside space. So all you have to do every day is what am I focused on?

